"D1","D2","D3","D4","D5","D6","D7","D8","T9","T10","T11","T12","T13","T14","T15","G16","H1","H2","H3","H4","H5","H6","H7","H8","y"
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,4,3,2,4,4,0.5,0.95,0.95,0,0.95,0,0,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,3,5,2,4,3,3,2,2,3,2,2,4,1.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,2,2,4,3,3,2,4,3,2,4,4,0.5,1.9,1.9,0,0,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,5,3,5,4,4,5,3,2,2,5,4,2,5,2,0.95,1.9,0.95,0.95,1.9,0.95,0.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,5,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,5,5,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
4,3,2,2,3,4,2,4,3,3,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0,0.9,1
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,5,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,5,5,4,4,3,5,2,2,3,2,2,4,1.5,0.95,1.9,0.95,0.95,0,0,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
4,3,2,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,4,3,5,2,4,3,3,2,2,3,2,2,4,1.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,5,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0.95,0.95,1.9,0
5,3,2,4,3,5,2,4,3,5,2,2,5,2,2,4,0.5,0.95,1.9,0,0.95,0,0,0.9,0
2,3,2,2,3,4,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,5,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,4,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
5,3,4,5,5,5,2,4,3,3,2,2,3,2,2,4,2,0.95,1.9,0.95,0.95,0.95,0.95,1.9,0
5,3,2,4,5,5,4,4,3,3,2,2,3,2,2,4,1.5,0.95,1.9,0.95,0.95,0,0.95,0.9,0
2,3,2,2,3,5,2,4,3,3,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
5,3,2,2,3,2,2,4,3,3,2,2,3,2,2,3,0.5,0.95,1.9,0,0,0.95,0,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,4,2,3,5,2,4,5,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,0.9,0
2,3,2,2,3,4,2,4,3,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,1
2,3,2,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
4,3,2,5,3,4,2,4,5,3,2,2,5,2,2,4,1.5,0.95,1.9,0.95,0.95,0.95,0,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,5,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
5,3,2,2,3,5,4,4,3,3,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,5,5,5,4,4,3,5,2,2,3,2,2,5,1.5,0.95,1.9,1.9,0.95,0.95,0.95,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0,0.95,1.9,0
2,3,4,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,4,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,3,2,4,4,5,5,2,4,5,5,4,5,0.5,0.95,1.9,0,0,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,4,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,5,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
2,4,4,4,3,5,2,4,3,3,2,2,3,4,2,4,1.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,3,5,4,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,2,2,3,5,2,4,3,3,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,5,5,2,4,3,3,2,2,3,4,2,4,1.5,0.95,1.9,0.95,0.95,0.95,0.95,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,3,5,2,4,3,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,5,3,5,4,4,5,3,2,2,5,4,2,5,2,0.95,1.9,0.95,0.95,1.9,0.95,0.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,4,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,4,3,5,2,4,3,3,4,2,3,4,2,4,1.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,5,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0,0,1.9,0
2,3,4,4,3,5,2,4,3,5,2,2,3,2,2,4,1.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,4,2,4,3,5,2,4,3,2,4,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,4,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,5,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,3,2,2,4,3,3,2,2,5,2,2,4,0.5,0.95,1.9,0,0,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,4,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0.95,0.95,0.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,2,5,5,2,2,4,3,3,2,2,5,2,3,4,1.5,0.95,1.9,1.9,0,1.9,0,0.9,1
2,3,2,4,5,5,4,5,3,3,2,4,3,2,5,5,0.5,0.95,1.9,0.95,0.95,0.95,0.95,1.9,0
2,3,4,4,3,5,2,4,3,3,2,2,3,2,2,4,1.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,4,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,5,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,3,5,2,4,3,3,2,2,3,2,2,4,1.5,0.95,1.9,0,0.95,0.95,0.95,1.9,1
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,4,2,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0,0.95,0.9,1
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,5,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0.95,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,0.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
5,3,4,2,3,5,2,4,3,3,2,2,3,5,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
5,3,2,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,2,3,5,4,5,3,5,2,2,3,2,3,4,0.5,0.95,1.9,0,0.95,1.9,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,4,4,3,5,2,4,3,5,2,2,5,4,2,4,1.5,0.95,0.95,0,0.95,0.95,0,0.9,0
2,3,2,2,3,5,2,4,5,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,1
5,3,2,4,3,5,2,4,3,3,2,2,3,2,3,4,1.5,0.95,1.9,0,0.95,0.95,0.95,1.9,0
5,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
2,3,2,2,3,5,2,4,3,3,2,2,3,2,2,4,0.5,0.95,1.9,0,0.95,0,0.95,1.9,0
